playerId,n_total,n_history,n_future,reputation,history_toxic_rate,future_toxic_rate,future_toxic_rate_binary
Eul's,15,10,5,0.6483289613986173,0.1,0.0,0
Europa,20,14,6,0.6423853047486164,0.0,0.0,0
Examplе^,10,7,3,0.5770129465327033,0.14285714285714285,0.0,0
Exorcist,20,14,6,0.47125861429699745,0.42857142857142855,0.5,1
Ez,23,16,7,0.4305583725046028,0.25,0.42857142857142855,1
FMJ,12,8,4,0.5884037967697312,0.125,0.25,1
FUCKPEENOISES_/_,12,8,4,0.5361699875756394,0.125,0.75,1
FallenDevil,14,9,5,0.7383917520942163,0.0,0.0,0
FeedDaddyBigFail,14,9,5,0.5395542521287071,0.5555555555555556,0.6,1
Fetty Wap,43,30,13,0.5190333739021648,0.4,0.23076923076923078,1
Fiddler,26,18,8,0.6158739600092368,0.1111111111111111,0.125,1
Flarex,10,7,3,0.6033481304459597,0.14285714285714285,0.0,0
Flash,16,11,5,0.4622720489923495,0.45454545454545453,0.2,1
Four(4),12,8,4,0.6858074548996789,0.0,0.0,0
Frederic_The_Pianist,16,11,5,0.5514993949991308,0.2727272727272727,0.0,0
Free_Viruses.exe,10,7,3,0.5908569478048187,0.2857142857142857,0.0,0
Freeze,21,14,7,0.602423152311089,0.14285714285714285,0.14285714285714285,1
Fuck Some bitches.(ONLYMID),19,13,6,0.5847752140985224,0.3076923076923077,0.3333333333333333,1
Fucking Blasito!,15,10,5,0.3235872118392839,0.8,0.8,1
FuturEEarTH,20,14,6,0.5467301220154441,0.21428571428571427,0.5,1
Fvcker,20,14,6,0.5443566689888125,0.21428571428571427,0.3333333333333333,1
FzFz,12,8,4,0.3878889305908685,0.5,0.5,1
GGWP,21,14,7,0.5316557030908071,0.35714285714285715,0.2857142857142857,1
Gazzyy,16,11,5,0.5999269912811647,0.2727272727272727,0.4,1
GeGe,11,7,4,0.6258915864327977,0.14285714285714285,0.25,1
GenuineHybrid,12,8,4,0.6217968106006019,0.375,0.0,0
George Costanza,28,19,9,0.5078128801503791,0.3157894736842105,0.3333333333333333,1
Gohan,10,7,3,0.6800728788262701,0.0,0.0,0
Got Silk?,10,7,3,0.4797354517370151,0.14285714285714285,0.0,0
Greef,12,8,4,0.39350226788363046,0.125,0.0,0
Grey,10,7,3,0.5539846690575435,0.2857142857142857,0.3333333333333333,1
Grooting Your Mum,14,9,5,0.6899903166407589,0.1111111111111111,0.2,1
Grup,11,7,4,0.5974766623876782,0.0,0.25,1
Gu$tav,12,8,4,0.6483899187514494,0.125,0.5,1
H7,13,9,4,0.3933465250619685,0.4444444444444444,0.25,1
HAHA,19,13,6,0.43195808944749464,0.5384615384615384,0.16666666666666666,1
HONOR.,12,8,4,0.7336326353150566,0.0,0.0,0
HOWWWWWW?,10,7,3,0.5106552352567922,0.5714285714285714,1.0,1
HR.X!!,15,10,5,0.4879180030032325,0.7,0.2,1
Hakaishin,13,9,4,0.661089468208338,0.0,0.0,0
Happong,11,7,4,0.6927178013681351,0.0,0.25,1
Harry,12,8,4,0.6718443223071117,0.0,0.0,0
Hash Brownie,33,23,10,0.5365437525704674,0.391304347826087,0.3,1
Hatred'3000,12,8,4,0.6418874048179475,0.125,0.5,1
Hatsune Miku,22,15,7,0.6661890247520923,0.06666666666666667,0.0,0
Heart,10,7,3,0.687142159430852,0.0,0.0,0
Heey Niks,26,18,8,0.6438007654613321,0.0,0.25,1
HellFire,10,7,3,0.5744810980442973,0.2857142857142857,0.6666666666666666,1
